Episode: 264 | Reward: 200.0 | Q Loss: 0.8278348445892334 | Steps: 23896
Episode: 265 | Reward: 200.0 | Q Loss: 6.814848899841309 | Steps: 24096
Episode: 266 | Reward: 200.0 | Q Loss: 7.335063934326172 | Steps: 24296
Episode: 267 | Reward: 200.0 | Q Loss: 0.9469178915023804 | Steps: 24496
Episode: 268 | Reward: 200.0 | Q Loss: 0.9545464515686035 | Steps: 24696
Episode: 269 | Reward: 200.0 | Q Loss: 7.619501113891602 | Steps: 24896
Episode: 270 | Reward: 200.0 | Q Loss: 1.0132347345352173 | Steps: 25096
Episode: 271 | Reward: 194.0 | Q Loss: 1.3725706338882446 | Steps: 25290
Episode: 272 | Reward: 200.0 | Q Loss: 0.9879955649375916 | Steps: 25490
Episode: 273 | Reward: 200.0 | Q Loss: 1.1371320486068726 | Steps: 25690
Episode: 274 | Reward: 200.0 | Q Loss: 0.8040634989738464 | Steps: 25890
Episode: 275 | Reward: 200.0 | Q Loss: 2.061155080795288 | Steps: 26090
Episode: 276 | Reward: 155.0 | Q Loss: 1.2739025354385376 | Steps: 26245
Episode: 277 | Reward: 200.0 | Q Loss: 1.2778050899505615 | Steps: 26445
Episode: 278 | Reward: 193.0 | Q Loss: 0.8865194320678711 | Steps: 26638
Episode: 279 | Reward: 200.0 | Q Loss: 0.897112250328064 | Steps: 26838
Episode: 280 | Reward: 185.0 | Q Loss: 0.9232578277587891 | Steps: 27023
Episode: 281 | Reward: 200.0 | Q Loss: 0.8166635632514954 | Steps: 27223
Episode: 282 | Reward: 200.0 | Q Loss: 0.9648189544677734 | Steps: 27423
Episode: 283 | Reward: 174.0 | Q Loss: 3.7823550701141357 | Steps: 27597
Episode: 284 | Reward: 200.0 | Q Loss: 0.853003740310669 | Steps: 27797
Episode: 285 | Reward: 200.0 | Q Loss: 1.2554795742034912 | Steps: 27997
Episode: 286 | Reward: 200.0 | Q Loss: 1.1156411170959473 | Steps: 28197
Episode: 287 | Reward: 200.0 | Q Loss: 1.0303864479064941 | Steps: 28397
Episode: 288 | Reward: 178.0 | Q Loss: 1.1009225845336914 | Steps: 28575
Episode: 289 | Reward: 168.0 | Q Loss: 2.4061460494995117 | Steps: 28743
Episode: 290 | Reward: 200.0 | Q Loss: 1.1732728481292725 | Steps: 28943
Episode: 291 | Reward: 200.0 | Q Loss: 0.8124973177909851 | Steps: 29143
Episode: 292 | Reward: 200.0 | Q Loss: 0.9272263050079346 | Steps: 29343
Episode: 293 | Reward: 200.0 | Q Loss: 6.9188151359558105 | Steps: 29543
Episode: 294 | Reward: 195.0 | Q Loss: 0.9072632193565369 | Steps: 29738
Episode: 295 | Reward: 134.0 | Q Loss: 0.7628333568572998 | Steps: 29872
Episode: 296 | Reward: 200.0 | Q Loss: 0.880932629108429 | Steps: 30072
Episode: 297 | Reward: 200.0 | Q Loss: 0.8657078742980957 | Steps: 30272
Episode: 298 | Reward: 200.0 | Q Loss: 1.0142278671264648 | Steps: 30472
Episode: 299 | Reward: 192.0 | Q Loss: 1.0905286073684692 | Steps: 30664
Episode: 300 | Reward: 200.0 | Q Loss: 1.3535614013671875 | Steps: 30864
